areaName,date,newCasesBySpecimenDate
United Kingdom,23/3/2021,4901
United Kingdom,22/3/2021,6255
United Kingdom,21/3/2021,5397
United Kingdom,20/3/2021,4040
United Kingdom,19/3/2021,5045
United Kingdom,18/3/2021,5599
United Kingdom,17/3/2021,5914
United Kingdom,16/3/2021,5795
United Kingdom,15/3/2021,6662
United Kingdom,14/3/2021,4376
United Kingdom,13/3/2021,4267
United Kingdom,12/3/2021,5695
United Kingdom,11/3/2021,5908
United Kingdom,10/3/2021,6167
United Kingdom,9/3/2021,6361
United Kingdom,8/3/2021,6839
United Kingdom,7/3/2021,4338
United Kingdom,6/3/2021,4524
United Kingdom,5/3/2021,5405
United Kingdom,4/3/2021,5790
United Kingdom,3/3/2021,6017
United Kingdom,2/3/2021,6675
United Kingdom,1/3/2021,6939
United Kingdom,28/2/2021,4742
United Kingdom,27/2/2021,4835
United Kingdom,26/2/2021,6602
United Kingdom,25/2/2021,7758
United Kingdom,24/2/2021,8571
United Kingdom,23/2/2021,9439
United Kingdom,22/2/2021,11331
United Kingdom,21/2/2021,7908
United Kingdom,20/2/2021,8077
United Kingdom,19/2/2021,10428
United Kingdom,18/2/2021,11430
United Kingdom,17/2/2021,11596
United Kingdom,16/2/2021,12505
United Kingdom,15/2/2021,14314
United Kingdom,14/2/2021,8784
United Kingdom,13/2/2021,8780
United Kingdom,12/2/2021,12192
United Kingdom,11/2/2021,12777
United Kingdom,10/2/2021,13535
United Kingdom,9/2/2021,13857
United Kingdom,8/2/2021,15787
United Kingdom,7/2/2021,11419
United Kingdom,6/2/2021,11979
United Kingdom,5/2/2021,15905
United Kingdom,4/2/2021,18028
United Kingdom,3/2/2021,19459
United Kingdom,2/2/2021,19825
United Kingdom,1/2/2021,22420
United Kingdom,31/1/2021,15442
United Kingdom,30/1/2021,16691
United Kingdom,29/1/2021,21823
United Kingdom,28/1/2021,24209
United Kingdom,27/1/2021,25750
United Kingdom,26/1/2021,27041
United Kingdom,25/1/2021,29993
United Kingdom,24/1/2021,17214
United Kingdom,23/1/2021,21871
United Kingdom,22/1/2021,29609
United Kingdom,21/1/2021,31715
United Kingdom,20/1/2021,35161
United Kingdom,19/1/2021,39546
United Kingdom,18/1/2021,44849
United Kingdom,17/1/2021,28879
United Kingdom,16/1/2021,30551
United Kingdom,15/1/2021,40450
United Kingdom,14/1/2021,42431
United Kingdom,13/1/2021,45450
United Kingdom,12/1/2021,49446
United Kingdom,11/1/2021,57201
United Kingdom,10/1/2021,36367
United Kingdom,9/1/2021,39105
United Kingdom,8/1/2021,47071
United Kingdom,7/1/2021,51987
United Kingdom,6/1/2021,57453
United Kingdom,5/1/2021,65175
United Kingdom,4/1/2021,76218
United Kingdom,3/1/2021,55217
United Kingdom,2/1/2021,60461
United Kingdom,1/1/2021,31858
United Kingdom,31/12/2020,52830
United Kingdom,30/12/2020,70832
United Kingdom,29/12/2020,81578
United Kingdom,28/12/2020,45630
United Kingdom,27/12/2020,47762
United Kingdom,26/12/2020,40372
United Kingdom,25/12/2020,14180
United Kingdom,24/12/2020,31846
United Kingdom,23/12/2020,42279
United Kingdom,22/12/2020,45693
United Kingdom,21/12/2020,47406
United Kingdom,20/12/2020,32481
United Kingdom,19/12/2020,25162
United Kingdom,18/12/2020,35848
United Kingdom,17/12/2020,33892
United Kingdom,16/12/2020,34936
United Kingdom,15/12/2020,33871
United Kingdom,14/12/2020,34735
United Kingdom,13/12/2020,21986
United Kingdom,12/12/2020,19361
United Kingdom,11/12/2020,24088
United Kingdom,10/12/2020,22626
United Kingdom,9/12/2020,21645
United Kingdom,8/12/2020,20799
United Kingdom,7/12/2020,21354
United Kingdom,6/12/2020,13611
United Kingdom,5/12/2020,12792
United Kingdom,4/12/2020,15705
United Kingdom,3/12/2020,15660
United Kingdom,2/12/2020,16466
United Kingdom,1/12/2020,16460
United Kingdom,30/11/2020,18035
United Kingdom,29/11/2020,10688
United Kingdom,28/11/2020,10964
United Kingdom,27/11/2020,14376
United Kingdom,26/11/2020,14567
United Kingdom,25/11/2020,16617
United Kingdom,24/11/2020,16456
United Kingdom,23/11/2020,18775
United Kingdom,22/11/2020,11738
United Kingdom,21/11/2020,12356
United Kingdom,20/11/2020,16863
United Kingdom,19/11/2020,17764
United Kingdom,18/11/2020,20770
United Kingdom,17/11/2020,23188
United Kingdom,16/11/2020,26590
United Kingdom,15/11/2020,16045
United Kingdom,14/11/2020,18020
United Kingdom,13/11/2020,24064
United Kingdom,12/11/2020,24487
United Kingdom,11/11/2020,27371
United Kingdom,10/11/2020,27445
United Kingdom,9/11/2020,31060
United Kingdom,8/11/2020,19966
United Kingdom,7/11/2020,18530
United Kingdom,6/11/2020,23336
